ID,Name,Nationality,Club,Position,Age,Overall,Predicted_Overall,Residual
182166,J. Palmieri,France,GFC Ajaccio,LB,31,70,70.12999725341797,-0.13
184982,M. Larrondo,Chile,Defensa y Justicia,ST,29,70,70.05000305175781,-0.05
193942,J. Colback,England,Nottingham Forest,LDM,28,70,69.8499984741211,0.15
203159,T. Kister,Germany,SV Sandhausen,CB,31,70,70.08999633789062,-0.09
226711,N. Omladič,Slovenia,SpVgg Greuther Fürth,RM,28,70,70.11000061035156,-0.11
235927,P. Cuadra,Argentina,Racing Club,ST,23,70,69.94000244140625,0.06
243863,I. Plastun,Ukraine,KAA Gent,CB,27,70,70.30000305175781,-0.3
212632,W. Dutoit,France,KV Oostende,GK,29,70,69.75,0.25
229528,M. Matvienko,Ukraine,Shakhtar Donetsk,LB,22,70,70.16999816894531,-0.17
236696,A. Chatzigiovanis,Greece,Panathinaikos FC,RM,21,70,70.01000213623047,-0.01
172696,M. Ardemagni,Italy,Ascoli,LS,31,70,70.23999786376953,-0.24
178584,A. Pearce,Republic of Ireland,Derby County,CB,29,70,70.02999877929688,-0.03
188824,E. Imorou,Benin,Stade Malherbe Caen,LB,29,70,70.04000091552734,-0.04
203161,M. Franke,Germany,SV Darmstadt 98,RCB,25,70,70.08999633789062,-0.09
210329,F. Falco,Italy,Lecce,CAM,26,70,69.98999786376953,0.01
214937,L. Villalba,Argentina,Club Atlético Aldosivi,LB,23,70,70.08999633789062,-0.09
240281,Tiago Lopes,Portugal,Kayserispor,RB,29,70,70.01000213623047,-0.01
188313,Diogo Viana,Portugal,Os Belenenses,RB,28,70,70.13999938964844,-0.14
189849,M. El Kabir,Morocco,MKE Ankaragücü,ST,29,70,69.98999786376953,0.01
211099,O. Nguette,Senegal,FC Metz,LW,23,70,69.9800033569336,0.02
229019,A. Engin,Germany,MSV Duisburg,RM,21,70,70.20999908447266,-0.21
165787,J. Ortiz,Argentina,Club Atlético Tigre,CM,34,70,69.73999786376953,0.26
204701,S. Khelifi,Switzerland,FC Zürich,RW,24,70,69.98999786376953,0.01
228509,J. Reine-Adélaïde,France,Angers SCO,RM,20,70,70.23999786376953,-0.24
186781,K. Kronholm,United States,Holstein Kiel,GK,32,70,70.13999938964844,-0.14
212126,N. Ninković,Serbia,Ascoli,CAM,23,70,70.04000091552734,-0.04
225950,M. Gakpa,France,FC Metz,LCM,24,70,69.86000061035156,0.14
227230,Eber Bessa,Brazil,Vitória de Setúbal,CM,26,70,69.9800033569336,0.02
176542,C. Valencia,Colombia,Independiente Santa Fe,RS,33,70,70.23999786376953,-0.24
187038,B. Mokulu,DR Congo,Carpi,RS,28,70,70.05000305175781,-0.05
201887,D. Johnson,Jamaica,Preston North End,CM,25,70,70.05000305175781,-0.05
152991,D. Marney,England,Fleetwood Town,CM,34,70,69.86000061035156,0.14
199584,M. Kieftenbeld,Netherlands,Birmingham City,LCM,28,70,70.6500015258789,-0.65
211872,P. Heise,Germany,SG Dynamo Dresden,LM,27,70,70.26000213623047,-0.26
244384,A. Rudko,Ukraine,Dynamo Kyiv,GK,26,70,70.27999877929688,-0.28
186272,L. Mchedlidze,Georgia,Empoli,ST,28,70,70.01000213623047,-0.01
209569,H. Al Moqahwi,Saudi Arabia,Al Ahli,CAM,30,70,70.05000305175781,-0.05
164769,S. Fletcher,Scotland,Sheffield Wednesday,ST,31,70,70.19000244140625,-0.19
237985,K. Danso,Austria,FC Augsburg,CB,19,70,69.83000183105469,0.17
45473,C. Tiffert,Germany,FC Erzgebirge Aue,CB,36,70,69.94000244140625,0.06
232610,T. Asano,Japan,Hannover 96,LM,23,70,70.06999969482422,-0.07
174754,G. Torres,Panama,CD Huachipato,RS,29,70,69.98999786376953,0.01
178594,S. Napoleoni,Italy,Medipol Başakşehir FK,CAM,32,70,70.0999984741211,-0.1
187042,A. Konradsen,Norway,Rosenborg BK,CM,27,70,69.93000030517578,0.07
204451,K. Günter,Germany,Genoa,CB,23,70,70.20999908447266,-0.21
207523,S. Medojević,Serbia,SV Darmstadt 98,LDM,27,70,69.93000030517578,0.07
225699,Anuar,Morocco,Real Valladolid CF,CDM,23,70,70.04000091552734,-0.04
170915,Sastre,Spain,SD Huesca,CM,32,70,70.08999633789062,-0.09
164,G. Pinzi,Italy,Padova,LCM,37,70,69.87999725341797,0.12
198564,Jona,Honduras,CD Lugo,ST,29,70,69.98999786376953,0.01
202404,Daniel Amora,Brazil,Al Raed,RDM,30,70,70.06999969482422,-0.07
142756,P. Toranzo,Argentina,Club Atlético Huracán,CAM,36,70,69.94000244140625,0.06
209828,Carlinhos,Brazil,Standard de Liège,CAM,24,70,70.0199966430664,-0.02
211365,E. Hestad,Norway,Molde FK,RW,23,70,70.1500015258789,-0.15
244389,Fernando,Brazil,Shakhtar Donetsk,LM,19,70,70.19000244140625,-0.19
218534,S. Adamyan,Armenia, SSV Jahn Regensburg,LS,25,70,70.22000122070312,-0.22
223654,Fede,Spain,Granada CF,RDM,21,70,70.0999984741211,-0.1
244646,Nathan Otávio,Brazil,Kashiwa Reysol,CB,28,70,70.0199966430664,-0.02
224423,M. Wittek,Germany,SpVgg Greuther Fürth,LB,22,70,69.98999786376953,0.01
235943,Rafa Navarro,Spain,FC Sochaux-Montbéliard,RB,24,70,70.13999938964844,-0.14
173735,N. Taylor,Wales,Aston Villa,LB,29,70,70.12999725341797,-0.13
189607,M. Schäffler,Germany,SV Wehen Wiesbaden,ST,29,70,70.0199966430664,-0.02
228520,E. Ávila,Argentina,SD Huesca,RM,24,70,70.01000213623047,-0.01
194216,A. Mazzotta,Italy,Palermo,LB,28,70,70.13999938964844,-0.14
212138,P. Frankowski,Poland,Jagiellonia Białystok,RM,23,70,69.98999786376953,0.01
213930,P. Budkivskyi,Ukraine,FC Sochaux-Montbéliard,ST,26,70,70.04000091552734,-0.04
188586,J. Flum,Germany,FC St. Pauli,RDM,30,70,70.0199966430664,-0.02
192938,Y. Ngbakoto,DR Congo,En Avant de Guingamp,LM,26,70,70.0999984741211,-0.1
200107,R. Bonevacia,Curacao,Western Sydney Wanderers,LW,26,70,69.94000244140625,0.06
232619,K. Shibasaki,Japan,Sanfrecce Hiroshima,RM,33,70,70.37999725341797,-0.38
237995,D. Lainez,Mexico,Club América,RM,18,70,69.83999633789062,0.16
214700,M. Navarrete,Chile,Unión La Calera,LCB,26,70,70.0199966430664,-0.02
169388,F. Valiani,Italy,Livorno,RM,37,70,69.79000091552734,0.21
169644,J. Maghoma,DR Congo,Birmingham City,LM,30,70,70.1500015258789,-0.15
172716,Alex López,Spain,Brisbane Roar,LDM,30,70,69.95999908447266,0.04
202413,Hernán,Spain,Real Sporting de Gijón,CM,27,70,69.95999908447266,0.04
215213,A. Werner,Argentina,SD Huesca,GK,22,70,70.08000183105469,-0.08
175789,B. Bjarnason,Iceland,Aston Villa,LM,30,70,70.16000366210938,-0.16
198062,Pichu Atienza,Spain,CD Numancia,RCB,28,70,70.51000213623047,-0.51
214446,F. Campos,Chile,Colo-Colo,RB,24,70,70.16000366210938,-0.16
229038,Christian Rivera,Spain,SD Huesca,CDM,20,70,70.16000366210938,-0.16
229039,Johannesson,Iceland,Real Oviedo,RWB,24,70,70.0,0.0
235183,C. Acevedo,Mexico,Santos Laguna,GK,22,70,70.18000030517578,-0.18
188335,A. Budimir,Croatia,Crotone,RS,26,70,69.7300033569336,0.27
172208,J. Troisi,Australia,Melbourne Victory,CAM,29,70,70.01000213623047,-0.01
188336,A. Tuia,Italy,Benevento,CB,28,70,70.62000274658203,-0.62
190640,V. Pálsson,Iceland,FC Zürich,RCM,27,70,70.33999633789062,-0.34
229041,M. Tahrat,Algeria,Racing Club de Lens,LCB,28,70,69.91999816894531,0.08
144306,E. Korkmaz,Turkey,BB Erzurumspor,RCB,35,70,70.05000305175781,-0.05
213170,Jeong Jae Yong,Korea Republic,Ulsan Hyundai FC,CDM,27,70,69.68000030517578,0.32
221618,L. Mousset,France,Bournemouth,ST,22,70,69.93000030517578,0.07
236466,C. Michelin,France,AC Ajaccio,RB,21,70,70.36000061035156,-0.36
184242,F. Ojo,Belgium,Scunthorpe United,RCM,26,70,70.05999755859375,-0.06
211635,Jeong Woon,Korea Republic,Jeju United FC,LM,29,70,70.20999908447266,-0.21
51123,M. Bodmer,France,Amiens SC,CAM,35,70,70.02999877929688,-0.03
189619,K. Smith,England,Bristol City,CM,27,70,70.37000274658203,-0.37
201908,A. Wisdom,England,Derby County,RB,25,70,70.31999969482422,-0.32
232884,S. Doi,Japan,Kashima Antlers,LS,26,70,70.06999969482422,-0.07
187572,Thiago Carleto,Brazil,Al Ittihad,LB,29,70,70.0,0.0
206005,D. Stracqualursi,Argentina,Club Atlético Aldosivi,ST,30,70,70.02999877929688,-0.03
209333,C. Maxwell,Wales,Preston North End,GK,27,70,70.87999725341797,-0.88
212405,Alberto Martín,Spain,Granada CF,CDM,29,70,69.97000122070312,0.03
221621,S. Birnbaum,United States,DC United,LCB,27,70,69.8499984741211,0.15
224949,J. Dilrosun,Netherlands,Hertha BSC,LM,20,70,70.08999633789062,-0.09
203446,A. Kali,Morocco,NAC Breda,CDM,27,70,70.2699966430664,-0.27
158902,D. Fox,Scotland,Nottingham Forest,LCB,32,70,70.08999633789062,-0.09
231862,L. Castro,Colombia,Independiente Medellín,ST,26,70,69.87999725341797,0.12
242614,I. Nedelcearu,Romania,Free Agent,CB,22,70,69.87000274658203,0.13
142775,A. Orión,Argentina,Colo-Colo,GK,37,70,70.0,0.0
221367,D. Milošević,Bosnia Herzegovina,Atiker Konyaspor,CAM,23,70,69.9800033569336,0.02
222391,J. Minala,Cameroon,Lazio,CM,21,70,69.94999694824219,0.05
199352,S. Çinaz,Germany,Kayserispor,RDM,32,70,69.93000030517578,0.07
195256,A. Turan,Turkey,Kayserispor,LB,26,70,70.18000030517578,-0.18
220089,S. Dursun,Turkey,Antalyaspor,CB,26,70,70.02999877929688,-0.03
224185,C. Leemans,Netherlands,PEC Zwolle,LCM,22,70,70.02999877929688,-0.03
191673,Kwon Soon Hyung,Korea Republic,Jeju United FC,RCM,32,70,70.12000274658203,-0.12
201146,Errasti,Spain,AD Alcorcón,CDM,30,70,70.16999816894531,-0.17
201914,M. Camporese,Italy,Foggia,CB,26,70,69.97000122070312,0.03
221370,M. Al Buraik,Saudi Arabia,Al Hilal,RB,25,70,70.16999816894531,-0.17
224186,J. de Wijs,Netherlands,Hull City,CB,23,70,70.20999908447266,-0.21
235706,Murilo Freitas,Brazil,Rio Ave FC,LW,22,70,70.08000183105469,-0.08
188602,W. Rémy,France,Legia Warszawa,RCB,27,70,70.26000213623047,-0.26
214459,C. Valenzuela,Chile,CD Huachipato,CAM,26,70,70.08000183105469,-0.08
214971,F. Pizzini,Argentina,Independiente,LM,24,70,69.95999908447266,0.04
193211,A. Ignjovski,Serbia,1. FC Magdeburg,RB,27,70,69.98999786376953,0.01
217532,M. El-Munir,Libya,Orlando City SC,LM,26,70,70.18000030517578,-0.18
231612,R. Del Castillo,France,Stade Rennais FC,RM,22,70,70.05999755859375,-0.06
241852,M. Diaby,France,Paris Saint-Germain,RW,18,70,70.19000244140625,-0.19
198589,G. Garza,United States,Atlanta United,LB,26,70,70.11000061035156,-0.11
206269,L. Jans,Luxembourg,FC Metz,RB,25,70,70.27999877929688,-0.28
219837,Aguza,Spain,UD Almería,CDM,25,70,70.12999725341797,-0.13
173245,R. Fernández,Argentina,CD O'Higgins,LCM,33,70,70.04000091552734,-0.04
202686,N. Wells,Bermuda,Queens Park Rangers,ST,28,70,70.02999877929688,-0.03
137406,D. Croce,Italy,US Cremonese,LCM,35,70,70.01000213623047,-0.01
223422,E. Loeschbor,Argentina,Monarcas Morelia,RCB,31,70,70.0999984741211,-0.1
241854,P. Schuurs,Netherlands,Ajax,CB,18,70,70.2300033569336,-0.23
211903,B. Kololli,Kosovo,FC Zürich,LW,26,70,70.01000213623047,-0.01
184255,K. Sigþórsson,Iceland,FC Nantes,ST,28,70,70.05999755859375,-0.06
204992,M. Koné,Ivory Coast,Málaga CF,ST,26,70,70.05999755859375,-0.06
210880,R. Fiamozzi,Italy,Lecce,RB,25,70,70.25,-0.25
214208,L. Pico,Colombia,Junior FC,RDM,26,70,69.98999786376953,0.01
242112,E. Bello,Venezuela,CD Antofagasta,RM,22,70,69.98999786376953,0.01
204737,Salvador Agra,Portugal,Cádiz CF,RM,26,70,70.0,0.0
213697,P. McNair,Northern Ireland,Middlesbrough,CDM,23,70,70.23999786376953,-0.24
221121,D. Rodríguez,Colombia,Deportivo Pasto,ST,23,70,70.08000183105469,-0.08
192449,M. Stiepermann,Germany,Norwich City,CAM,27,70,70.05999755859375,-0.06
221890,J. Fulton,Scotland,Swansea City,RCM,24,70,69.75,0.25
234178,L. Abram,Peru,Vélez Sarsfield,LCB,22,70,70.2300033569336,-0.23
204227,Z. Gano,Belgium,KRC Genk,ST,24,70,69.94999694824219,0.05
140483,L. Mazzoni,Italy,Livorno,GK,34,70,69.8499984741211,0.15
208835,Y. M'Changama,Comoros,Grenoble Foot 38,RDM,27,70,69.76000213623047,0.24
212419,T. Mings,England,Bournemouth,LB,25,70,70.44000244140625,-0.44
166851,K. Árnason,Iceland,Free Agent,RCB,35,70,69.9000015258789,0.1
239043,U. Bozok,France,Nîmes Olympique,RS,21,70,69.98999786376953,0.01
110787,Borja Fernández,Spain,Real Valladolid CF,CDM,37,70,70.0999984741211,-0.1
190659,H. Bazile,Haiti,Le Havre AC,RM,28,70,70.08000183105469,-0.08
192451,G. Carey,Republic of Ireland,Plymouth Argyle,RM,29,70,70.01000213623047,-0.01
193475,P. Souaré,Senegal,Crystal Palace,LB,28,70,70.16000366210938,-0.16
233413,Verdasca,Portugal,Real Zaragoza,CB,21,70,69.79000091552734,0.21
210374,J. Vigón,Mexico,Club Atlas,RCM,26,70,69.9800033569336,0.02
230342,Edsinho Torres,Brazil,Sport Club do Recife,LB,34,70,70.1500015258789,-0.15
237766,S. Kaneko,Japan,Shimizu S-Pulse,RM,23,70,70.06999969482422,-0.07
239814,D. Batubinsika,France,Royal Antwerp FC,CB,22,70,70.12999725341797,-0.13
193222,F. Giefer,Germany,FC Augsburg,GK,28,70,70.27999877929688,-0.28
230855,H. Wahl,Germany,Holstein Kiel,LCB,24,70,70.0199966430664,-0.02
189383,M. Albæk,Denmark,1. FC Kaiserslautern,LDM,28,70,69.77999877929688,0.22
193735,Juan Dominguez,Spain,CF Reus Deportiu,RCM,28,70,70.02999877929688,-0.03
198856,C. Avevor,Germany,FC St. Pauli,LCB,26,70,70.02999877929688,-0.03
219848,David Costas,Spain,RC Celta,LCB,23,70,70.19999694824219,-0.2
195272,M. Faraoni,Italy,Crotone,RM,26,70,69.95999908447266,0.04
198601,L. Mendoza,Mexico,Deportivo Toluca,RM,28,70,70.08000183105469,-0.08
198857,S. Romagnoli,Italy,Brescia,RCB,28,70,70.0,0.0
208585,A. Ngando,France,Göztepe SK,CAM,24,70,70.08999633789062,-0.09
214217,B. Vidal,Chile,CD Palestino,CB,27,70,70.55000305175781,-0.55
222153,C. Buonaiuto,Italy,Benevento,LW,25,70,69.98999786376953,0.01
176841,L. Jutkiewicz,England,Birmingham City,LS,29,70,70.04000091552734,-0.04
182473,Li Xuepeng,China PR,Guangzhou Evergrande Taobao FC,LB,29,70,69.9000015258789,0.1
217802,Fábio Sturgeon,Portugal,CD Feirense,RM,24,70,69.97000122070312,0.03
220362,K. Mahachi,Zimbabwe,Orlando Pirates,LW,24,70,70.0199966430664,-0.02
227274,D. Barbona,Argentina,Atlético Tucumán,LM,23,70,70.02999877929688,-0.03
200395,M. Silva,Uruguay,Real Salt Lake,RCB,29,70,69.95999908447266,0.04
214987,G. Voboril,Argentina,Universidad Católica,LB,31,70,70.02999877929688,-0.03
227787,Kim Jong Woo,Korea Republic,Suwon Samsung Bluewings,RCM,24,70,69.86000061035156,0.14
190667,M. Terrazzino,Germany,SC Freiburg,LM,27,70,69.98999786376953,0.01
219852,A. Ferrari,Italy,Sampdoria,RB,24,70,70.0199966430664,-0.02
231628,Rafa Mir,Spain,UD Las Palmas,RF,21,70,70.01000213623047,-0.01
209613,P. Iemmello,Italy,Foggia,RCM,26,70,70.05999755859375,-0.06
214733,M. Cerato,Argentina,Club León,RW,30,70,70.13999938964844,-0.14
228813,Aleix García,Spain,Girona FC,CM,21,70,69.81999969482422,0.18
229325,O. Linnér,Sweden,AIK,GK,21,70,70.11000061035156,-0.11
234957,Platiny,Brazil,GD Chaves,ST,27,70,69.97000122070312,0.03
184781,D. Petrić,Serbia,En Avant de Guingamp,GK,30,70,69.98999786376953,0.01
188621,A. Meijers,Netherlands,ADO Den Haag,LB,30,70,70.08000183105469,-0.08
227790,Jeong Seung Hyun,Korea Republic,Kashima Antlers,RCB,24,70,70.05000305175781,-0.05
230350,Flávio Rebeilo,Brazil,Santos,LB,26,70,70.0199966430664,-0.02
239822,E. Tercero,Mexico,Tigres U.A.N.L.,CB,22,70,70.05000305175781,-0.05
243662,Kalindi,Brazil,CD Nacional,RB,24,70,70.26000213623047,-0.26
208335,L. Kübler,Germany,SC Freiburg,RB,25,70,70.2699966430664,-0.27
212943,M. Caballero,Paraguay,San Luis de Quillota,ST,23,70,69.86000061035156,0.14
213711,A. Rocha,Mexico,Monarcas Morelia,LCM,25,70,70.22000122070312,-0.22
215247,M. Ingvartsen,Denmark,KRC Genk,ST,22,70,69.91000366210938,0.09
216015,N. Moiraghi,Argentina,Club Atlético Tigre,LCB,33,70,69.80000305175781,0.2
164559,C. Wondolowski,United States,San Jose Earthquakes,ST,35,70,69.91999816894531,0.08
181199,M. Petržela,Czech Republic,Viktoria Plzeň,RM,35,70,69.91999816894531,0.08
181455,A. Cissokho,France,Antalyaspor,LB,30,70,70.18000030517578,-0.18
204496,P. Bauer,Germany,Charlton Athletic,RCB,25,70,70.06999969482422,-0.07
214480,J. López,Colombia,Independiente Santa Fe,RCB,29,70,69.9800033569336,0.02
201681,C. Quintero,Colombia,Atlético Bucaramanga,RM,29,70,70.05999755859375,-0.06
140497,R. Wallace,Scotland,Fleetwood Town,RCM,33,70,70.23999786376953,-0.24
214993,P. Alvarado,Argentina,Unión La Calera,RCB,32,70,70.05000305175781,-0.05
224977,A. Micai,Italy,US Salernitana 1919,GK,24,70,70.33999633789062,-0.34
227537,H. Veerman,Netherlands,FC St. Pauli,ST,27,70,69.94999694824219,0.05
200914,A. Salvi,Italy,Palermo,RB,30,70,70.11000061035156,-0.11
209874,B. Khuzwayo,South Africa,Orlando Pirates,GK,28,70,70.30000305175781,-0.3
214226,R. Loaiza,Colombia,Atlético Nacional,CDM,24,70,70.05000305175781,-0.05
169938,Hugo Vieira,Portugal,Yokohama F. Marinos,ST,29,70,70.08999633789062,-0.09
238802,P. Türpitz,Germany,1. FC Magdeburg,CAM,26,70,69.87000274658203,0.13
198611,N. Đurđić,Serbia,Hammarby IF,ST,32,70,70.0199966430664,-0.02
135891,K. Overmeire,Belgium,Sporting Lokeren,CDM,32,70,70.05000305175781,-0.05
123603,H. Campagnaro,Argentina,Pescara,LCB,38,70,69.9800033569336,0.02
191443,F. Mancinelli,Argentina,Club Atlético Huracán,LCB,36,70,70.0,0.0
212948,F. Ondoa,Cameroon,KV Oostende,GK,22,70,70.13999938964844,-0.14
222420,G. Ward,England,Ipswich Town,RM,23,70,70.05999755859375,-0.06
229332,Campillo,Spain,CD Lugo,LM,27,70,70.16000366210938,-0.16
206549,E. Bush,United States,Montreal Impact,GK,32,70,70.0199966430664,-0.02
209109,J. Silbeira,Paraguay,Free Agent,GK,22,70,69.73999786376953,0.26
189397,F. Jungwirth,Germany,San Jose Earthquakes,CB,29,70,70.01000213623047,-0.01
220118,I. Bel Hassani,Morocco,AZ Alkmaar,CAM,25,70,70.08000183105469,-0.08
193495,André Santos,Portugal,Os Belenenses,RCM,29,70,70.11000061035156,-0.11
152536,B. Johnson,England,Derby County,CM,31,70,70.08999633789062,-0.09
219864,Cotán,Spain,Real Valladolid CF,CDM,22,70,70.25,-0.25
236505,Artur Jorge,Portugal,Vitória de Setúbal,CB,23,70,70.13999938964844,-0.14
238041,T. Malacia,Netherlands,Feyenoord,LB,18,70,69.63999938964844,0.36
204506,M. van Buren,Netherlands,SK Slavia Praha,ST,25,70,70.0,0.0
230362,Daguinho Parrela,Brazil,Internacional,RB,34,70,70.2699966430664,-0.27
39386,D. Beasley,United States,Houston Dynamo,LB,36,70,70.1500015258789,-0.15
239322,C. Zimmermann,Germany,Norwich City,RCB,25,70,70.16000366210938,-0.16
207835,Ademilson,Brazil,Gamba Osaka,RS,24,70,70.05000305175781,-0.05
212955,Jorginho,Brazil,Al Qadisiyah,RM,27,70,70.06999969482422,-0.07
155355,Lee Chung Yong,Korea Republic,VfL Bochum 1848,CAM,29,70,70.01000213623047,-0.01
234203,C. Eiting,Netherlands,Ajax,CM,20,70,70.25,-0.25
216284,F. Ballas,Germany,SG Dynamo Dresden,CB,25,70,70.08999633789062,-0.09
222428,J. Komar,Argentina,Club Atlético Talleres,RCB,21,70,69.98999786376953,0.01
234972,Y. Gomis,Senegal,Racing Club de Lens,ST,26,70,69.91000366210938,0.09
237532,Rodrigo,Brazil,CD Aves,RB,25,70,70.31999969482422,-0.32
195036,S. Winnall,England,Sheffield Wednesday,ST,27,70,69.97000122070312,0.03
203741,T. Delaine,France,FC Metz,LB,26,70,70.22000122070312,-0.22
210653,L. Quintana,Mexico,U.N.A.M.,LCB,26,70,70.20999908447266,-0.21
241629,Rogério,Brazil,Sassuolo,LM,20,70,70.80999755859375,-0.81
177373,L. Nielsen,Denmark,Malmö FF,RCB,30,70,70.08000183105469,-0.08
195037,D. Batth,England,Middlesbrough,CB,27,70,70.18000030517578,-0.18
208862,J. Giraudon,France,ESTAC Troyes,RDM,26,70,70.04000091552734,-0.04
223966,Vítor Bruno,Portugal,CD Feirense,LB,28,70,70.18000030517578,-0.18
232926,K. Watanabe,Japan,Gamba Osaka,LS,31,70,70.11000061035156,-0.11
200671,V. Ulloa,Mexico,FC Dallas,LDM,26,70,69.87000274658203,0.13
200672,Zhang Linpeng,China PR,Guangzhou Evergrande Taobao FC,LCB,29,70,69.91000366210938,0.09
208096,T. Eisfeld,Germany,VfL Bochum 1848,CAM,25,70,70.02999877929688,-0.03
220128,J. Cristaldo,Argentina,Racing Club,RS,29,70,70.0,0.0
230368,Bernardo Motinho,Brazil,Cruzeiro,RB,26,70,70.05999755859375,-0.06
206561,C. Walton,England,Wigan Athletic,GK,22,70,70.16999816894531,-0.17
228321,Sergi Palencia,Spain,FC Girondins de Bordeaux,RB,22,70,70.12999725341797,-0.13
239841,V. Lampropoulos,Greece,AEK Athens,CB,28,70,69.97000122070312,0.03
200930,L. Tremolada,Italy,Brescia,CAM,26,70,70.05000305175781,-0.05
201698,M. Pátkai,Hungary,Free Agent,CDM,30,70,69.81999969482422,0.18
219106,F. Al Ansari,Kuwait,Al Faisaly,LDM,31,70,69.87999725341797,0.12
172258,José Semedo,Portugal,Vitória de Setúbal,LDM,33,70,70.02999877929688,-0.03
239842,G. Giakoumakis,Greece,AEK Athens,ST,23,70,70.02999877929688,-0.03
193250,M. Leovac,Croatia,Dinamo Zagreb,LB,29,70,70.19000244140625,-0.19
215267,T. Figueroa,Argentina,Unión Española,ST,26,70,70.02999877929688,-0.03
225507,Pol Llonch,Spain,Willem II,LCM,25,70,70.16000366210938,-0.16
184035,B. Angulo,Colombia,Puebla FC,LWB,28,70,70.02999877929688,-0.03
186595,E. Bennett,England,Blackburn Rovers,RM,29,70,70.08999633789062,-0.09
189923,C. Nhamoinesu,Zimbabwe,Sparta Praha,LB,32,70,70.02999877929688,-0.03
209892,B. Rabello,Chile,Lobos BUAP,LM,24,70,70.06999969482422,-0.07
153060,J. Insaurralde,Argentina,Colo-Colo,LCB,33,70,69.93000030517578,0.07
198117,A. Bernardini,Italy,US Salernitana 1919,CB,31,70,70.05000305175781,-0.05
206565,J. Walker,Scotland,Peterborough United,CAM,25,70,70.2300033569336,-0.23
216549,A. Sørloth,Norway,Crystal Palace,ST,22,70,70.01000213623047,-0.01
220901,David Raya,Spain,Blackburn Rovers,GK,22,70,70.16000366210938,-0.16
227557,M. Cassierra,Colombia,FC Groningen,ST,21,70,69.97000122070312,0.03
241637,A. Tchouaméni,France,FC Girondins de Bordeaux,CM,18,70,70.36000061035156,-0.36
227558,J. Siebatcheu,France,Stade Rennais FC,ST,22,70,70.0199966430664,-0.02
229606,V. Angban,Ivory Coast,FC Metz,CM,21,70,70.04000091552734,-0.04
229862,Edu Expósito,Spain,Deportivo de La Coruña,RCM,21,70,70.01000213623047,-0.01
236518,A. Nordin,France,AS Saint-Étienne,LM,20,70,69.79000091552734,0.21
198631,Rodri,Spain,Granada CF,ST,28,70,69.94999694824219,0.05
219879,M. Pisano,Argentina,Club Atlético Aldosivi,RW,26,70,69.88999938964844,0.11
163303,G. Whelan,Republic of Ireland,Aston Villa,CDM,34,70,69.98999786376953,0.01
164839,M. Parkhurst,United States,Atlanta United,RCB,34,70,69.93000030517578,0.07
198632,J. Zárate,Mexico,Lobos BUAP,LM,26,70,70.0199966430664,-0.02
172520,P. Kanstrup,Denmark,Aarhus GF,RCB,29,70,69.95999908447266,0.04
189928,G. Scognamiglio,Italy,Pescara,CB,31,70,70.0199966430664,-0.02
224489,E. Ersoy,Turkey,Bursaspor,CB,21,70,70.01000213623047,-0.01
153066,L. Licht,Argentina,Gimnasia y Esgrima La Plata,LB,37,70,70.08999633789062,-0.09
235754,Borja Herrera,Spain,CF Reus Deportiu,LB,25,70,70.2699966430664,-0.27
236522,E. Brignola,Italy,Sassuolo,CAM,18,70,70.05000305175781,-0.05
206571,M. Maddison,England,Peterborough United,RM,24,70,70.0,0.0
212459,M. Cavion,Italy,Ascoli,CM,23,70,69.87999725341797,0.12
221675,C. Mosquera,Colombia,Patriotas Boyacá FC,RM,27,70,69.97000122070312,0.03
226285,R. Gudiño,Mexico,Guadalajara,GK,22,70,70.23999786376953,-0.24
226797,V. Malcorra,Argentina,U.N.A.M.,LDM,30,70,70.0999984741211,-0.1
230382,Milton Menceiros,Brazil,Ceará Sporting Club,LCB,26,70,69.94000244140625,0.06
231150,Jamiro Monteiro,Cape Verde,FC Metz,CM,24,70,70.02999877929688,-0.03
169710,L. Bridcutt,Scotland,Nottingham Forest,CDM,29,70,70.12000274658203,-0.12
235502,Luisinho,Brazil,Al Faisaly,LM,27,70,70.12000274658203,-0.12
241390,E. Elmas,FYR Macedonia,Fenerbahçe SK,LDM,18,70,70.0,0.0
244206,N. Pérez,Argentina,Argentinos Juniors,CB,18,70,70.22000122070312,-0.22
211440,D. Ndlovu,South Africa,Free Agent,ST,28,70,69.91999816894531,0.08
214000,Y. Reyna,Peru,Vancouver Whitecaps FC,CF,24,70,70.0199966430664,-0.02
221168,D. Kownacki,Poland,Sampdoria,ST,21,70,69.97000122070312,0.03
229104,H. Faik,Netherlands,SV Zulte-Waregem,CM,26,70,69.98999786376953,0.01
233201,C. Mepham,Wales,Brentford,LCB,20,70,69.94999694824219,0.05
188657,D. Rudd,England,Preston North End,GK,27,70,70.33000183105469,-0.33
189425,Bruno Gallo,Brazil,GD Chaves,RCM,30,70,70.06999969482422,-0.07
195313,M. Peybernès,France,Real Sporting de Gijón,CB,27,70,70.19999694824219,-0.2
201714,D. Böde,Hungary,Free Agent,ST,31,70,69.62000274658203,0.38
211954,T. Schröck,Germany,FC Ingolstadt 04,CB,25,70,70.11000061035156,-0.11
213490,I. Brown,England,Leeds United,CAM,21,70,69.75,0.25
226035,J. Morris,United States,Seattle Sounders FC,ST,23,70,69.88999938964844,0.11
183283,J. Taravel,France,KSV Cercle Brugge,LCB,31,70,70.05000305175781,-0.05
